iter	Passed	Remaining
0	0	97
1	1	89
2	2	84
3	3	78
4	4	77
5	4	76
6	5	77
7	6	77
8	7	76
9	8	76
10	9	75
11	10	74
12	10	73
13	11	71
14	12	70
15	13	69
16	14	68
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	21	60
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	32	48
40	32	47
41	33	45
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	57	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	61	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
